Vasilikos Vasilis,Sto dromo tou Lamore (1979)
Drew John (X),She Has Divided Me... (2012)
Hagopian Anna,Bluegrass Run (2013)
Wieninger Julia,Über uns das All (2011)
Mauranen Rea,Kuulustelu (2009)
Brown Tawnie,Lola's Love Shack (2012)
Sreenivasan (I),Aakasha Kottayile Sultan (1991)
Frazier Jamel,Criminal Lawyer (1951)
Baker Silver Tip,In the Days of Buffalo Bill (1922)
Marsh Marian,Five Star Final (1931)
Gupta Bipin (I),Do Phool (1958)
Marzo Cláudio,Copacabana Me Engana (1968)
Jares Bina,A Vida em 140 Caracteres: Uma Aventura Virtual (2011)
Nguyen Long (I),Night Wars (1988)
Lazareno Norma,La virtud desnuda (1957)
Gerrard Charles K.,Accused (1925)
Lewis Rachel (IV),The Story of O: Untold Pleasures (2002)
Williams III Clarence (I),Shepherd (1999)
Pineda Harold,Masarap habang mainit (2000)
Gugino Carla,Judas Kiss (1998)
Tejero Fernando,Torremolinos 73 (2003)
Gutiérrez Caba Emilio,La petición (1976)
Ekstam Nils,Bröllopsresan (1936)
Lauring Gunnar,Laan mig din kone (1957)
Monfort Juan,Es peligroso asomarse al exterior (1946)
Gam Marta,La muerte de Sebastián Arache y su pobre entierro (1974)
Coxen Edward,Scaramouche (1923)
Minter Mary Miles,Why Be Good? Sexuality & Censorship in Early Cinema (2007)
DeLeon Rick,Sight (2012/III)
Kyômoto Masaki,Sukeban Deka: Kazama san-shimai no gyakushû (1988)
Dog Teddy the,The Star Boarder (1920)
Corbett Jeff (I),The Good Fight (2008)
Salvatori Renato (I),Armaguedon (1977)
Stanelle Ulrike,Blonder Tango (1986)
Nadkarni Usha,Sakhi (2007)
Watts Charles (I),The Killer That Stalked New York (1950)
Fox Elga,This Way They Came (2010)
Okuszko Anna,Cover Story (2002)
Rodríguez Francisco (IX),Caniche (1979)
Jiménez Pons Jaime,La ciudad de los niños (1957)
Howman Chloe,Fathers of Girls (2009)
Silvani Al,Let No Man Write My Epitaph (1960)
Lee Jasper (I),Yellow (1998/I)
Stöckel Joe,Die drei Dorfheiligen (1949)
Papadakis Mihalis (I),Ena votsalo sti limni... (1952)
Walker P.T.,Man Outside (1965)
Shibuya Aki,The Coffin (2008)
Peszek Jan,Schodami w góre schodami w dól (1988)
Egan Jack (I),Dick Tracy Returns (1938)
Weinges Philipp,Holgi (2000)
Koshiba Kanji,Hokkyokukô (1941)
Dunsworth John,Stuck (2007)
Kibbee Milton,Conquest of Cheyenne (1946)
Briggs Jim,One Angry Dwarf (2001)
Walsh Joseph (VII),Drifter: Henry Lee Lucas (2009)
Tedeschi Susan,Queen City (2013)
Yu Li (I),Xiu Xiu han ta de nan ren (1995)
Lawrence XVII David H.,Gods of Los Angeles (2005)
Horváth Tivadar,A halhatatlan légiós (1971)
Kapoor Motia,Gori Dian Jhanjran (1980)
Valtchev Milen,Duel of Legends (2012)
Hana Hajime,Ningen no shômei (1977)
Grivellaro Caroline,Nocturno (2004)
Sharma Murli,Chatur Singh Two Star (2011)
Fifer Pam,A/S/L: Age Sex Location (2008)
Jeffers Juliette,Constellation (2005)
Cook Arthur (I),Cupid in the Cow Camp (1913)
Mukherjee Ashok (I),Antony Firingee (1967)
Sôma Gôzô,Shôrinji kenpô (1976)
Wang Ching Ho,Shao nai nai de si wa (1972)
Dobrý Karel,Pramen zivota (2000)
Zykov Maksim,Utomlennye solntsem 2 (2011)
Furuya Tôru,Kidô senshi Z Gandamu: Hoshi o tsugu mono (2004)
Litvinova Renata,Uvlecheniya (1994)
Rizabawa,Nagarapuranam (1997)
Ewans Nick,Catching the Bus (2010)
West Adam (I),Chicken Little (2005)
Oskar Lee,Pocket Full of Soul: The Harmonica Documentary (2009)
Abdrakhmanov Abdrashid,Gibel Otrara (1991)
Benjamin Maggie,Back to One (2002)
Trtanj Dajana,Homo Geminus (2012)
Lawson Sims,Hunger (2009/I)
Tovey Arthur,Jinx Money (1948)
Anghelescu Mircea,Burebista (1980)
Barry Fiona,Down the Dark Road (2011)
Chiba Toshio,Hana no nagadosu (1954)
Meredith Jo Anne,Peace for a Gunfighter (1965)
Allarde Darren,The Price (2010/I)
Shimerman Armin,Resistance: Fall of Man (2006)
Komarov Sergei (I),My s Urala (1943)
Heiney Rose,Bucco Blanco (2009)
Fielden-Kaye Beatrix,Three Maxims (1936)
Álamo Antonio,En malas compañías (2000)
Chinn Anthony,Yangtse Incident: The Story of H.M.S. Amethyst (1957)
Ralli Anna Marie,To Klotsoskoufi (1960)
D'Alarcón Celia,El boxeador (1958)
Lin Feng-Jiao,Jin yong lü tai (1974)
Kramer Jack N.,The Enemy Below (1957)
Miller Max (I),Thank Evans (1938)
Mattingly Hedley,Alexander Galt: The Stubborn Idealist (1962)
Goetz Victoria,AIR: The Musical (2010)
Talbot Helen,I've Always Loved You (1946)
Valkeejärvi Pekka,Kaappari (2013)
Soroka Anya,Shultes (2008)
Auclair Michel (I),Les amants de demain (1959)
Güney Yilmaz,Bin defa ölürüm (1969)
Barlow Merlin,Mountain Charlie (1982)
Abuel Tommy,Alyas Pogi: Birador ng Nueva Ecija (1990)
de Montalembert Thibault,Manipularea (2000)
Sutton George (III),Against the Grain: More Meat Than Wheat (1981)
Aloi George,Lowlife (2013)
Krummenacher Fiona,The Rendezvous (2010)
Mindov Miroslav,Stublenskite lipi (1960)
Sferrazza Mark,Street Trash (1987)
Chitre Ashay (III),Mandi (1983)
Bélisle Monique,Tulips (1981)
Plessner Clementine,Die Tragödie der Entehrten (1924)
Abramovic Marina,Our City Dreams (2008)
Rehier Lucy,Back to Paradise (2012)
Ferro Oriana,Quiero saber la verdad (2009)
Mcalister Katrina,The Eschatrilogy: Book of the Dead (2012)
Katz Ivan,Sharkskin (2013)
Sullivan Walter (I),Tale of a Tiger (1984)
Reddall Dawn,Indiana Jones and the Temple of Doom (1984)
Frade José,Al filo del hacha (1988)
Col Nino,L'uomo la donna e la bestia - Spell (Dolce mattatoio)
Harjo Ben,My Last Day (2010/I)
Wong Sun (I),Ying tai qi xue (1976)
Michaelson Jonathan,Don't Let the Angels Fall (1969)
Watson Steven (II),Neophytes and Neon Lights (2001)
Witt Rowan,The Matrix (1999)
Camelot Gustavo,Damsel of Death (2002)
Andrine Claude,Le pensionnat et ses intimités (1975)
McDonald Jason (IV),Sin City (2005)
Shani Eric,2:22 (2008)
Andréyor Yvette,La petite Béarnaise (1911)
Johnson Luke Anthony,Shaun of the Dead (2004)
Brandford Emily,Casual Living (2008)
de La Baume Joséphine,La princesse de Montpensier (2010)
Jones Brook (III),Lost in Sound (2010)
Serafimovic Elena,Prevrteno (2007)
Bonamano Aldo,Anastasia mio fratello ovvero il presunto capo dell'Anonima Assassini (1973)
